'Flow Duration','Tot Fwd Pkts','Tot Bwd Pkts','TotLen Fwd Pkts','TotLen Bwd Pkts','Fwd Pkt Len Max','Fwd Pkt Len Min','Fwd Pkt Len Mean','Fwd Pkt Len Std','Bwd Pkt Len Max','Bwd Pkt Len Min','Bwd Pkt Len Mean','Bwd Pkt Len Std','Flow Byts/s','Flow Pkts/s','Flow IAT Mean','Flow IAT Std','Flow IAT Max','Flow IAT Min','Fwd IAT Tot','Fwd IAT Mean','Fwd IAT Std','Fwd IAT Max','Fwd IAT Min','Bwd IAT Tot','Bwd IAT Mean','Bwd IAT Std','Bwd IAT Max','Bwd IAT Min','Bwd PSH Flags','Bwd URG Flags','Fwd Header Len','Bwd Header Len','Fwd Pkts/s','Bwd Pkts/s','Pkt Len Min','Pkt Len Max','Pkt Len Mean','Pkt Len Std','Pkt Len Var','FIN Flag Cnt','SYN Flag Cnt','RST Flag Cnt','PSH Flag Cnt','ACK Flag Cnt','URG Flag Cnt','CWE Flag Count','ECE Flag Cnt','Down/Up Ratio','Pkt Size Avg','Fwd Seg Size Avg','Bwd Seg Size Avg','Subflow Fwd Pkts','Subflow Fwd Byts','Subflow Bwd Pkts','Subflow Bwd Byts','Init Bwd Win Byts','Fwd Act Data Pkts','Active Mean','Active Std','Active Max','Active Min','Idle Mean','Idle Std','Idle Max','Idle Min',Label
3878,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,515.7298,3878.0,0.0,3878,3878,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,257.8649,257.8649,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
15049,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,315702.04,797.3952,1368.0909,2903.2576,9713,48,5230,1743.3333,1292.6629,2800,302,15049,2149.8571,3490.4207,9713,108,0,0,80,184,265.7984,531.5968,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
8891,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,224.9466,8891.0,0.0,8891,8891,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,112.4733,112.4733,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,513,0,0,0,0,0,0,0,0,0,Brute_Force
15983,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125.133,15983.0,0.0,15983,15983,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,62.5665,62.5665,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7627,4,8,321,4434,321,0,80.25,160.5,1460,0,554.25,750.2544,623443.0313,1573.3578,693.3636,1575.3137,5399,61,7252,2417.3333,2635.7284,5399,398,7627,1089.5714,1967.8424,5526,185,0,0,80,184,524.4526,1048.9052,0,1460,365.7692,629.9156,396793.6923,0,1,0,0,0,0,0,0,2,396.25,80.25,554.25,4,321,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
28956,4,8,320,4434,320,0,80.0,160.0,1460,0,554.25,750.2544,164180.1354,414.4219,2632.3636,6025.4239,19897,107,28229,9409.6667,10552.1003,21107,607,28956,4136.5714,7353.6199,19897,337,0,0,80,184,138.1406,276.2813,0,1460,365.6923,629.9216,396801.2308,0,1,0,0,0,0,0,0,2,396.1667,80.0,554.25,4,320,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
4722,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,423.5493,4722.0,0.0,4722,4722,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,211.7747,211.7747,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
4713,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,424.3582,4713.0,0.0,4713,4713,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,212.1791,212.1791,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
22516,3,7,315,4434,315,0,105.0,181.8653,1460,0,633.4286,773.4224,210916.6815,444.1286,2501.7778,4081.0787,10982,14,11111,5555.5,3496.643,8028,3083,22516,3752.6667,5047.6557,11204,14,0,0,60,164,133.2386,310.89,0,1460,431.7273,666.8334,444666.8182,0,1,0,0,0,0,0,0,2,474.9,105.0,633.4286,3,315,7,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
6995,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285.9185,6995.0,0.0,6995,6995,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,142.9593,142.9593,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
6174,4,8,319,4434,319,0,79.75,159.5,1460,0,554.25,750.2544,769841.2698,1943.6346,561.2727,1077.575,3624,35,5773,1924.3333,1695.5154,3624,233,6174,882.0,1309.7126,3711,151,0,0,80,184,647.8782,1295.7564,0,1460,365.6154,629.9277,396808.9231,0,1,0,0,0,0,0,0,2,396.0833,79.75,554.25,4,319,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
25737,4,8,320,4434,320,0,80.0,160.0,1460,0,554.25,750.2544,184714.6132,466.2548,2339.7273,4914.1568,14374,55,25371,8457.0,7143.0889,14374,522,25737,3676.7143,5941.0374,14535,189,0,0,80,184,155.4183,310.8365,0,1460,365.6923,629.9216,396801.2308,0,1,0,0,0,0,0,0,2,396.1667,80.0,554.25,4,320,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
2380,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,840.3361,2380.0,0.0,2380,2380,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,420.1681,420.1681,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
3014,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,663.57,3014.0,0.0,3014,3014,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,331.785,331.785,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
8137,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,245.7908,8137.0,0.0,8137,8137,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,122.8954,122.8954,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
8530,3,7,316,4434,316,0,105.3333,182.4427,1460,0,633.4286,773.4224,556858.1477,1172.3329,947.7778,1493.4297,4044,47,7534,3767.0,1101.6724,4546,2988,8530,1421.6667,1713.9143,4044,101,0,0,60,164,351.6999,820.6331,0,1460,431.8182,666.816,444643.5636,0,1,0,0,0,0,0,0,2,475.0,105.3333,633.4286,3,316,7,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
6579,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,303.9976,6579.0,0.0,6579,6579,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,151.9988,151.9988,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7016,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,677166.4766,1710.3763,637.8182,897.0039,2929,45,6536,2178.6667,1132.478,2929,876,7016,1002.2857,1251.413,3523,129,0,0,80,184,570.1254,1140.2509,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
28978,4,8,326,4434,326,0,81.5,163.0,1460,0,554.25,750.2544,164262.544,414.1073,2634.3636,5289.9033,14803,103,28295,9431.6667,7695.1489,14803,616,28978,4139.7143,6419.9057,15169,301,0,0,80,184,138.0358,276.0715,0,1460,366.1538,629.8875,396758.3077,0,1,0,0,0,0,0,0,2,396.6667,81.5,554.25,4,326,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
11900,4,8,318,4434,318,0,79.5,159.0,1460,0,554.25,750.2544,399327.7311,1008.4034,1081.8182,1671.0808,4840,7,11514,3838.0,1373.7624,5424,3019,11900,1700.0,1944.2334,4840,67,0,0,80,184,336.1345,672.2689,0,1460,365.5385,629.9339,396816.7692,0,1,0,0,0,0,0,0,2,396.0,79.5,554.25,4,318,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
10430,4,8,319,4434,319,0,79.75,159.5,1460,0,554.25,750.2544,455704.698,1150.5273,948.1818,2003.2705,6330,37,10230,3410.0,3332.3975,6874,227,10430,1490.0,2423.9585,6330,58,0,0,80,184,383.5091,767.0182,0,1460,365.6154,629.9277,396808.9231,0,1,0,0,0,0,0,0,2,396.0833,79.75,554.25,4,319,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
2145,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,932.4009,2145.0,0.0,2145,2145,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,466.2005,466.2005,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
5377,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,371.9546,5377.0,0.0,5377,5377,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,185.9773,185.9773,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,513,0,0,0,0,0,0,0,0,0,Brute_Force
3846,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,520.0208,3846.0,0.0,3846,3846,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,260.0104,260.0104,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
21751,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,91.9498,21751.0,0.0,21751,21751,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,45.9749,45.9749,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
11543,4,8,318,4434,318,0,79.5,159.0,1460,0,554.25,750.2544,411678.0733,1039.5911,1049.3636,2182.9933,6892,45,11251,3750.3333,3576.6317,7458,321,11543,1649.0,2628.6436,6892,119,0,0,80,184,346.5304,693.0607,0,1460,365.5385,629.9339,396816.7692,0,1,0,0,0,0,0,0,2,396.0,79.5,554.25,4,318,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7608,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,262.8812,7608.0,0.0,7608,7608,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,131.4406,131.4406,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
9169,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,218.1263,9169.0,0.0,9169,9169,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,109.0631,109.0631,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
5947,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,336.304,5947.0,0.0,5947,5947,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,168.152,168.152,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7245,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,276.0525,7245.0,0.0,7245,7245,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,138.0262,138.0262,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
21821,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,91.6548,21821.0,0.0,21821,21821,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,45.8274,45.8274,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
2941,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,680.0408,2941.0,0.0,2941,2941,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,340.0204,340.0204,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,513,0,0,0,0,0,0,0,0,0,Brute_Force
1379,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1450.3263,1379.0,0.0,1379,1379,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,725.1632,725.1632,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,513,0,0,0,0,0,0,0,0,0,Brute_Force
12144,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,391222.0026,988.1423,1104.0,2188.7961,5637,36,11854,3951.3333,3181.2272,5935,282,12144,1734.8571,2634.403,5758,148,0,0,80,184,329.3808,658.7615,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
29798,3,7,321,4434,321,0,107.0,185.3294,1460,0,633.4286,773.4224,159574.4681,335.593,3310.8889,6153.7853,18275,53,29286,14643.0,16557.6124,26351,2935,29798,4966.3333,7140.4137,18275,73,0,0,60,164,100.6779,234.9151,0,1460,432.2727,666.7308,444530.0182,0,1,0,0,0,0,0,0,2,475.5,107.0,633.4286,3,321,7,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
5166,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,387.1467,5166.0,0.0,5166,5166,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,193.5734,193.5734,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
3319,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,602.5911,3319.0,0.0,3319,3319,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,301.2956,301.2956,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
7461,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,636777.9118,1608.3635,678.2727,1258.6692,3558,34,7208,2402.6667,1853.2934,3558,265,7461,1065.8571,1513.4794,3665,87,0,0,80,184,536.1212,1072.2423,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7951,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,597534.9013,1509.2441,722.8182,1329.517,4427,67,7614,2538.0,2025.6039,4427,399,7951,1135.8571,1623.0502,4576,145,0,0,80,184,503.0814,1006.1627,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
10058,4,8,317,4434,317,0,79.25,158.5,1460,0,554.25,750.2544,472360.3102,1193.0801,914.3636,1829.5144,5659,48,9720,3240.0,2927.0082,6171,317,10058,1436.8571,2209.045,5659,126,0,0,80,184,397.6934,795.3868,0,1460,365.4615,629.9403,396824.7692,0,1,0,0,0,0,0,0,2,395.9167,79.25,554.25,4,317,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7210,4,8,315,4434,315,0,78.75,157.5,1460,0,554.25,750.2544,658668.516,1664.3551,655.4545,1385.1815,4742,41,6776,2258.6667,2279.3055,4742,262,7210,1030.0,1725.6055,4884,132,0,0,80,184,554.785,1109.57,0,1460,365.3077,629.9534,396841.2308,0,1,0,0,0,0,0,0,2,395.75,78.75,554.25,4,315,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
6197,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,322.7368,6197.0,0.0,6197,6197,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,161.3684,161.3684,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,513,0,0,0,0,0,0,0,0,0,Brute_Force
10966,4,8,316,4434,316,0,79.0,158.0,1460,0,554.25,750.2544,433157.0308,1094.2914,996.9091,1827.7839,4712,7,10864,3621.3333,2270.0752,5226,1024,10966,1566.5714,2197.2213,4779,54,0,0,80,184,364.7638,729.5276,0,1460,365.3846,629.9468,396832.9231,0,1,0,0,0,0,0,0,2,395.8333,79.0,554.25,4,316,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7213,4,8,316,4434,316,0,79.0,158.0,1460,0,554.25,750.2544,658533.2039,1663.6628,655.7273,1017.109,3253,7,6774,2258.0,1288.8914,3253,802,7213,1030.4286,1335.0874,3685,51,0,0,80,184,554.5543,1109.1086,0,1460,365.3846,629.9468,396832.9231,0,1,0,0,0,0,0,0,2,395.8333,79.0,554.25,4,316,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
8039,4,8,321,4434,321,0,80.25,160.5,1460,0,554.25,750.2544,591491.479,1492.723,730.8182,1382.0401,4422,34,7788,2596.0,2134.0562,4422,250,8039,1148.4286,1736.5698,4682,83,0,0,80,184,497.5743,995.1487,0,1460,365.7692,629.9156,396793.6923,0,1,0,0,0,0,0,0,2,396.25,80.25,554.25,4,321,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
9150,3,7,320,4434,320,0,106.6667,184.7521,1460,0,633.4286,773.4224,519562.8415,1092.8962,1016.6667,1156.7542,3155,42,7574,3787.0,893.783,4419,3155,9150,1525.0,1213.264,3279,160,0,0,60,164,327.8689,765.0273,0,1460,432.1818,666.7476,444552.3636,0,1,0,0,0,0,0,0,2,475.4,106.6667,633.4286,3,320,7,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
3870,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,516.7959,3870.0,0.0,3870,3870,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,258.3979,258.3979,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,4106,0,0,0,0,0,0,0,0,0,Brute_Force
18464,4,8,321,4434,321,0,80.25,160.5,1460,0,554.25,750.2544,257528.1629,649.9133,1678.5455,3308.5019,10973,27,7333,2444.3333,1619.7164,3469,577,18464,2637.7143,3922.45,10973,215,0,0,80,184,216.6378,433.2756,0,1460,365.7692,629.9156,396793.6923,0,1,0,0,0,0,0,0,2,396.25,80.25,554.25,4,321,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
7603,4,8,315,4434,315,0,78.75,157.5,1460,0,554.25,750.2544,624621.8598,1578.3243,691.1818,1259.2914,4257,75,7153,2384.3333,1954.5949,4257,357,7603,1086.1429,1550.8423,4431,175,0,0,80,184,526.1081,1052.2162,0,1460,365.3077,629.9534,396841.2308,0,1,0,0,0,0,0,0,2,395.75,78.75,554.25,4,315,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
8257,4,8,327,4434,327,0,81.75,163.5,1460,0,554.25,750.2544,576601.6713,1453.3123,750.6364,1437.1705,4285,45,8058,2686.0,2240.1795,4824,356,8257,1179.5714,1721.1519,4285,78,0,0,80,184,484.4374,968.8749,0,1460,366.2308,629.8823,396751.6923,0,1,0,0,0,0,0,0,2,396.75,81.75,554.25,4,327,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
27426,4,8,319,4434,319,0,79.75,159.5,1460,0,554.25,750.2544,173302.7055,437.541,2493.2727,5308.9497,16652,58,26179,8726.3333,8142.0,16652,384,27426,3918.0,6422.8288,16792,145,0,0,80,184,145.847,291.694,0,1460,365.6154,629.9277,396808.9231,0,1,0,0,0,0,0,0,2,396.0833,79.75,554.25,4,319,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
8313,4,8,320,4434,320,0,80.0,160.0,1460,0,554.25,750.2544,571875.3759,1443.5222,755.7273,1361.236,4334,6,8201,2733.6667,1909.2895,4844,1126,8313,1187.5714,1618.0219,4334,56,0,0,80,184,481.1741,962.3481,0,1460,365.6923,629.9216,396801.2308,0,1,0,0,0,0,0,0,2,396.1667,80.0,554.25,4,320,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
34901,4,8,318,4434,318,0,79.5,159.0,1460,0,554.25,750.2544,136156.5571,343.8297,3172.8182,6198.5262,15941,29,33775,11258.3333,9015.5549,16969,865,34901,4985.8571,7424.5037,16241,340,0,0,80,184,114.6099,229.2198,0,1460,365.5385,629.9339,396816.7692,0,1,0,0,0,0,0,0,2,396.0,79.5,554.25,4,318,8,4434,54,1,0,0,0,0,0,0,0,0,Brute_Force
