Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,timestamp,source_ip
80,698,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5730.659026,232.6666667,210.3386159,469,66,698,349.0,400.2224382,632,66,0,0.0,0.0,0,0,104,40,4297.994269,1432.664756,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.698,192.168.1.107
52325,16,1,6,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,62500.0,62500.0,6,6,6.0,0.0,0.0,0,0,1,9.0,6,237,256,0,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:00:00.016,192.168.1.32
80,145791,3,26,20,0,8.666666667,10.26320288,5840,0,1934.5,2375.523332,79792.30542,61.73220569,18223.875,51016.64691,144482,2,1019,509.5,482.9539316,851,168,145746,29149.2,64474.36517,144482,2,72,132,20.5774019,41.15480379,0,5840,1163.3,2031.339572,4126340.456,0,1,0,1292.555556,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:02:25.791,192.168.1.63
1594,49,1,2,2,2,2.0,0.0,6,6,6.0,0.0,163265.3061,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,20408.16327,20408.16327,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.049,192.168.1.70
19283,76,2,4,2,2,2.0,0.0,0,0,0.0,0.0,52631.57895,26315.78947,76.0,0.0,76,76,76,76.0,0.0,76,76,0,0.0,0.0,0,0,48,0,26315.78947,0.0,2,2,2.0,0.0,0.0,0,1,0,3.0,4,1024,-1,1,24,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.076,192.168.1.193
8080,122908,4,852,840,0,213.0,418.0095693,128,0,44.66666667,72.23111056,8022.260553,56.95316822,20484.66667,49205.40693,120923,30,122908,40969.33333,70359.7956,122213,30,121526,60763.0,85079.08791,120923,603,92,72,32.54466756,24.40850067,0,840,123.25,292.908445,85795.35714,0,1,0,140.8571429,852,8192,242,3,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:02:02.908,192.168.1.248
80,52,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,19230.76923,19230.76923,0,0,0.0,0.0,0.0,0,0,1,0.0,0,237,236,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 00:00:00.052,192.168.1.254
8090,48,1,2,2,2,2.0,0.0,6,6,6.0,0.0,166666.6667,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,20833.33333,20833.33333,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.048,192.168.1.202
80,66,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,15151.51515,15151.51515,0,0,0.0,0.0,0.0,0,0,1,0.0,0,1444,1172,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 00:00:00.066,192.168.1.25
53,24737,2,70,35,35,35.0,0.0,51,51,51.0,0.0,6953.147108,161.7010955,8245.666667,14277.58356,24732,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,64,64,80.85054776,80.85054776,35,51,41.4,8.76356092,76.8,0,0,0,51.75,70,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:24.737,192.168.1.27
13456,49,2,4,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,1,0,3.0,4,1024,-1,1,24,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.049,192.168.1.49
514,10,1,2,2,2,2.0,0.0,6,6,6.0,0.0,800000.0,200000.0,10.0,0.0,10,10,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,100000.0,100000.0,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.010,192.168.1.89
80,3003693,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998770513,1501846.5,710119.7632,2003977,999716,3003693,1501846.5,710119.7632,2003977,999716,0,0.0,0.0,0,0,120,0,0.998770513,0.0,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,-1,0,40,0.0,0,0,0.0,0,0,DoS,2025-10-12 00:50:03.693,192.168.1.36
80,1565807,5,30,6,6,6.0,0.0,0,0,0.0,0.0,19.15944941,3.193241568,391451.75,782113.5035,1564622,326,1565807,391451.75,782113.5035,1564622,326,0,0.0,0.0,0,0,100,0,3.193241568,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:26:05.807,192.168.1.173
8080,91924,4,206,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3698.707628,76.14986293,15320.66667,36453.65677,89728,83,91924,30641.33333,52466.80774,91224,83,90370,45185.0,62993.31471,89728,642,92,72,43.51420739,32.63565554,0,194,42.5,75.2880184,5668.285714,0,1,0,48.57142857,206,8192,237,3,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:01:31.924,192.168.1.123
80,7382084,8,56,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,1579.906162,1.896483432,567852.6154,1694153.767,6092083,2,6150186,878598.0,2299024.171,6092083,2,1232933,246586.6,550722.7295,1231749,2,172,132,1.083704818,0.812778614,0,5840,777.9333333,1804.898987,3257660.352,0,0,1,833.5,56,256,229,6,20,57055.0,57055,57055,6092083.0,6092083,6092083,DDoS,2025-10-12 02:03:02.084,192.168.1.191
80,1230095,3,26,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,9456.993159,5.690617391,205015.8333,501541.0007,1228782,23,823,411.5,444.7701654,726,97,1230072,410024.0,709065.3508,1228782,227,72,92,2.438836025,3.251781366,0,11595,1454.125,4097.537534,16800000.0,0,1,0,1661.857143,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:20:30.095,192.168.1.134
80,85837438,7,366,366,0,52.28571429,138.3349971,5803,0,1932.5,2539.075088,139.3447927,0.151449068,7153119.833,24500000.0,84800000,0,85800000,14300000.0,34600000.0,84800000,0,1276,255.2,344.0882154,861,48,240,200,0.081549498,0.06989957,0,5803,854.3571429,1851.33713,3427449.17,0,0,1,920.0769231,366,274,235,1,32,4.0,4,4,84800000.0,84800000,84800000,DoS,2025-10-12 23:50:37.438,192.168.1.195
9500,62,1,2,2,2,2.0,0.0,6,6,6.0,0.0,129032.2581,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,16129.03226,16129.03226,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.062,192.168.1.248
2003,86,1,0,0,0,0.0,0.0,6,6,6.0,0.0,69767.44186,23255.81395,86.0,0.0,86,86,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,11627.90698,11627.90698,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.086,192.168.1.201
123,94224,1,48,48,48,48.0,0.0,48,48,48.0,0.0,1018.8487009679,21.2260146035,94224.0,0.0,94224,94224,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,10.6130073017,10.6130073017,48,48,48.0,0.0,0.0,0,0,0,72.0,48,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:01:34.224,192.168.1.215
8080,63315,4,207,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5385.769565,110.5583195,10552.5,24840.48422,61254,44,63315,21105.0,35920.72189,62581,44,61858,30929.0,42886.02628,61254,604,92,72,63.17618258,47.38213693,0,195,42.625,75.57576615,5711.696429,0,1,0,48.71428571,207,8192,237,3,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:01:03.315,192.168.1.26
2048,69,1,0,0,0,0.0,0.0,6,6,6.0,0.0,86956.52174,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,14492.75362,14492.75362,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.069,192.168.1.113
80,74,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,13513.51351,13513.51351,0,0,0.0,0.0,0.0,0,0,1,0.0,0,1444,1176,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 00:00:00.074,192.168.1.224
22,86,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23255.81395,86.0,0.0,86,86,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,11627.90698,11627.90698,0,0,0.0,0.0,0.0,0,0,1,0.0,0,259,257,0,32,0.0,0,0,0.0,0,0,Brute Force,2025-10-12 00:00:00.086,192.168.1.212
80,99137133,9,368,368,0,40.88888889,122.6666667,2907,0,1932.5,1496.914126,120.6712322,0.151305566,7081223.786,26500000.0,99100000,1,99100000,12400000.0,35000000.0,99100000,1,7907,1581.4,3077.971783,7084,68,296,200,0.090783339,0.060522226,0,2907,747.6875,1285.870274,1653462.363,0,0,1,797.5333333,368,274,235,1,32,972.0,972,972,99100000.0,99100000,99100000,DoS,2025-10-13 03:32:17.133,192.168.1.165
53,211,2,76,38,38,38.0,0.0,134,134,134.0,0.0,1630331.754,18957.34597,70.33333333,115.7598088,204,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,40,40,9478.672986,9478.672986,38,134,76.4,52.58136552,2764.8,0,0,0,95.5,76,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.211,192.168.1.253
41723,73,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27397.26027,73.0,0.0,73,73,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,13698.63014,13698.63014,0,0,0.0,0.0,0.0,0,0,1,0.0,0,369,557,0,32,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.073,192.168.1.196
443,94864,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,126.4968797,42.16562658,31621.33333,29093.22288,57476,118,94864,47432.0,14204.36102,57476,37388,0,0.0,0.0,0,0,72,32,31.62421994,10.54140665,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,8192,42780,2,20,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:01:34.864,192.168.1.46
443,110391428,12,72,6,6,6.0,0.0,0,0,0.0,0.0,0.652224555,0.217408185,4799627.304,5088145.058,10000000,35018,110000000,10000000.0,3149.525713,10000000,10000000,110000000,10000000.0,3127.171161,10000000,10000000,240,384,0.108704092,0.108704092,0,6,3.12,3.059411708,9.36,0,0,1,3.25,72,256,74,11,20,35184.81818,35364,35018,9997206.909,10000000,9994556,Normal Traffic,2025-10-13 06:39:51.428,192.168.1.20
80,5609658,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.713055947,1869886.0,3238140.875,5608969,94,5609658,2804829.0,3965652.819,5608969,689,0,0.0,0.0,0,0,104,40,0.534791961,0.178263987,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:33:29.658,192.168.1.137
80,85197224,7,297,291,0,42.42857143,109.632503,7240,0,1932.5,2695.639126,139.5820127,0.152587131,7099768.667,24600000.0,85100000,2,85100000,14200000.0,34700000.0,85100000,2,138588,27717.6,56887.4763,129249,72,220,200,0.082162301,0.07042483,0,7240,849.4285714,1935.955368,3747923.187,0,0,1,914.7692308,297,251,235,2,20,6.0,6,6,85100000.0,85100000,85100000,DoS,2025-10-12 23:39:57.224,192.168.1.164
443,5871693,9,347,190,0,38.55555556,70.31911389,2517,0,841.4,1112.518225,775.5855083,2.384320842,451668.6923,1554136.074,5623070,3,5871693,733961.625,1975877.074,5623070,17,183407,45851.75,65565.58904,140105,289,296,168,1.532777684,0.851543158,0,2517,303.6,715.1872682,511492.8286,0,1,0,325.2857143,347,29200,939,3,32,248606.0,248606,248606,5623070.0,5623070,5623070,Normal Traffic,2025-10-12 01:37:51.693,192.168.1.112
80,4015869,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.996048427,1338623.0,2317811.359,4015001,122,4015869,2007934.5,2838420.665,4015001,868,0,0.0,0.0,0,0,104,40,0.74703632,0.249012107,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:06:55.869,192.168.1.113
8080,200804,5,214,196,0,42.8,85.68080298,129,0,36.25,61.96975069,1787.812992,44.81982431,25100.5,70214.49523,198872,61,200804,50201.0,99778.93114,199869,61,199904,66634.66667,114520.9627,198872,387,112,92,24.89990239,19.91992191,0,196,35.9,68.6479748,4712.544444,0,1,0,39.88888889,214,8192,237,4,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:03:20.804,192.168.1.131
8080,90169,4,210,198,0,52.5,97.04122835,128,0,44.66666667,72.23111056,3815.05839,77.63200213,15028.16667,35870.52371,88246,16,90169,30056.33333,51339.87504,89337,49,88809,44404.5,62001.24389,88246,563,92,72,44.36114407,33.27085806,0,198,43.0,76.44232186,5843.428571,0,1,0,49.14285714,210,8192,237,3,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:01:30.169,192.168.1.107
53,66841763,2,94,49,45,47.0,2.8284271247,136,129,132.5,4.9497474683,5.3708936432,0.0598428261,22280587.6666667,38348900.9986667,66562013,71059,66633072,66633072.0,0.0,66633072,66633072,66770704,66770704.0,0.0,66770704,66770704,64,52,0.0299214131,0.0299214131,45,136,80.8,47.2884763975,2236.2,0,0,0,101.0,94,-1,-1,1,32,71059.0,71059,71059,66562013.0,66562013,66562013,Normal Traffic,2025-10-12 18:34:01.763,192.168.1.18
808,51,1,0,0,0,0.0,0.0,6,6,6.0,0.0,117647.0588,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,19607.84314,19607.84314,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.051,192.168.1.212
80,5399482,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.740811804,1799827.333,3116796.567,5398794,153,5399482,2699741.0,3817037.358,5398794,688,0,0.0,0.0,0,0,104,40,0.555608853,0.185202951,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:29:59.482,192.168.1.132
21,219,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,63926.94064,13698.63014,109.5,50.20458146,145,74,219,219.0,0.0,219,219,0,0.0,0.0,0,0,64,20,9132.420091,4566.210046,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force,2025-10-12 00:00:00.219,192.168.1.36
80,128977,3,26,20,0,8.666666667,10.26320288,4380,0,1658.142857,1942.877285,90194.37574,77.53320359,14330.77778,42507.73808,127683,3,924,462.0,496.3889604,813,111,128931,21488.5,52025.80146,127683,3,72,152,23.25996108,54.27324252,0,4380,1057.545455,1720.253084,2959270.673,0,1,0,1163.3,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:02:08.977,192.168.1.30
80,72863506,8,56,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,160.0664124,0.164691499,6623955.091,19100000.0,63600000,5,71400000,10200000.0,23700000.0,63600000,126,1511115,503705.0,871691.0475,1510247,5,172,92,0.109794332,0.054897166,0,11595,897.6153846,3214.167532,10300000.0,0,0,1,972.4166667,56,256,229,6,20,722.0,722,722,35700000.0,63600000,7703398,DDoS,2025-10-12 20:14:23.506,192.168.1.69
616,35,1,2,2,2,2.0,0.0,6,6,6.0,0.0,228571.4286,57142.85714,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,28571.42857,28571.42857,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.035,192.168.1.28
80,37990,5,30,6,6,6.0,0.0,0,0,0.0,0.0,789.6814951,131.6135825,9497.5,18240.73055,36858,273,37990,9497.5,18240.73055,36858,273,0,0.0,0.0,0,0,100,0,131.6135825,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:00:37.990,192.168.1.78
80,5476023,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.730457122,1825341.0,3160958.09,5475301,142,5476023,2738011.5,3871111.935,5475301,722,0,0.0,0.0,0,0,104,40,0.547842841,0.18261428,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:31:16.023,192.168.1.159
1096,34,1,0,0,0,0.0,0.0,6,6,6.0,0.0,176470.5882,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,29411.76471,29411.76471,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning,2025-10-12 00:00:00.034,192.168.1.107
80,8130822,4,24,6,6,6.0,0.0,0,0,0.0,0.0,2.95173108,0.49195518,2710274.0,4693478.395,8129836,5,8130822,2710274.0,4693478.395,8129836,5,0,0.0,0.0,0,0,80,0,0.49195518,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,986.0,986,986,8129836.0,8129836,8129836,DDoS,2025-10-12 02:15:30.822,192.168.1.254
53514,48,1,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,20833.33333,20833.33333,6,6,6.0,0.0,0.0,0,0,1,9.0,6,237,256,0,20,0.0,0,0,0.0,0,0,Bots,2025-10-12 00:00:00.048,192.168.1.160
53,224,2,74,37,37,37.0,0.0,102,102,102.0,0.0,1241071.429,17857.14286,74.66666667,88.08140174,173,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,40,40,8928.571429,8928.571429,37,102,63.0,35.60196624,1267.5,0,0,0,78.75,74,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic,2025-10-12 00:00:00.224,192.168.1.60
80,5243304,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.762877758,1747768.0,3026621.096,5242609,126,5243304,2621652.0,3706592.936,5242609,695,0,0.0,0.0,0,0,104,40,0.572158318,0.190719439,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 01:27:23.304,192.168.1.185
80,1210058,5,30,6,6,6.0,0.0,0,0,0.0,0.0,24.79220004,4.132033341,302514.5,604275.134,1208927,1,1210058,302514.5,604275.134,1208927,1,0,0.0,0.0,0,0,100,0,4.132033341,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS,2025-10-12 00:20:10.058,192.168.1.231
80,1221031,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3.275920104,407010.3333,704178.9093,1220126,105,1221031,610515.5,862119.4369,1220126,905,0,0.0,0.0,0,0,104,40,2.456940078,0.818980026,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks,2025-10-12 00:20:21.031,192.168.1.0
80,84863238,7,367,361,0,52.42857143,136.0855823,5792,0,1932.5,2181.008184,140.9562053,0.15318765,7071936.5,24500000.0,84700000,1,84700000,14100000.0,34600000.0,84700000,1,149610,29922.0,60651.50369,138091,44,220,200,0.082485658,0.070701992,0,5792,854.4285714,1666.433396,2777000.264,0,0,1,920.1538462,367,251,235,2,20,1002.0,1002,1002,84700000.0,84700000,84700000,DoS,2025-10-12 23:34:23.238,192.168.1.10
80,22602750,14,1844,461,0,131.7142857,216.1201335,4344,0,1661.714286,1765.027452,596.2106381,0.929090487,1130137.5,2470168.213,9753616,15,17600000,1354229.538,2779882.568,9757446,240,15600000,2598084.167,4008712.824,9753616,15,480,232,0.619393658,0.309696829,0,4344,612.5454545,1207.445423,1457924.45,0,1,0,641.7142857,1844,29200,235,4,32,7846537.0,7846537,7846537,9753616.0,9753616,9753616,DoS,2025-10-12 06:16:42.750,192.168.1.71
